"","prey_time","prey_pop","pred_time","pred_pop","start","end","c_prey","c_pred","window","dilution.rate","Source"
"155","","",1058.0508,1.037,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"156","","",1081.3559,1.1235,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"157","","",1100,1.0988,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"158","731.669","0.31",725.271,0.446,-1,2,"5","3",50,0.0715,"Canale 1973.csv"
"159","736.868","0.278",733.669,0.49,NA,NA,"","",NA,NA,"Canale 1973.csv"
"160","746.466","0.451",734.869,0.533,NA,NA,"","",NA,NA,"Canale 1973.csv"
"161","751.665","0.589",739.268,0.456,NA,NA,"","",NA,NA,"Canale 1973.csv"
"162","758.464","0.712",741.667,0.332,NA,NA,"","",NA,NA,"Canale 1973.csv"
"163","764.463","0.761",744.067,0.271,NA,NA,"","",NA,NA,"Canale 1973.csv"
"164","775.661","0.359",750.466,0.209,NA,NA,"","",NA,NA,"Canale 1973.csv"
"165","778.46","0.336",754.065,0.242,NA,NA,"","",NA,NA,"Canale 1973.csv"
"166","785.259","0.381",759.664,0.315,NA,NA,"","",NA,NA,"Canale 1973.csv"
"167","787.658","0.412",764.463,0.406,NA,NA,"","",NA,NA,"Canale 1973.csv"
"168","799.256","0.371",772.461,0.563,NA,NA,"","",NA,NA,"Canale 1973.csv"
"169","804.855","0.533",774.461,0.549,NA,NA,"","",NA,NA,"Canale 1973.csv"
"170","806.054","0.566",778.46,0.609,NA,NA,"","",NA,NA,"Canale 1973.csv"
"171","810.853","0.599",782.459,0.625,NA,NA,"","",NA,NA,"Canale 1973.csv"
"172","817.252","0.579",787.658,0.581,NA,NA,"","",NA,NA,"Canale 1973.csv"
"173","817.652","0.381",789.258,0.541,NA,NA,"","",NA,NA,"Canale 1973.csv"
"174","823.251","0.356",791.257,0.386,NA,NA,"","",NA,NA,"Canale 1973.csv"
"175","827.65","0.595",795.257,0.493,NA,NA,"","",NA,NA,"Canale 1973.csv"
"176","832.449","0.547",798.856,0.44,NA,NA,"","",NA,NA,"Canale 1973.csv"
"177","835.248","0.641",804.455,0.482,NA,NA,"","",NA,NA,"Canale 1973.csv"
"178","840.447","0.567",806.854,0.483,NA,NA,"","",NA,NA,"Canale 1973.csv"
"179","844.047","0.653",812.053,0.458,NA,NA,"","",NA,NA,"Canale 1973.csv"
"180","848.446","0.62",816.052,0.466,NA,NA,"","",NA,NA,"Canale 1973.csv"
"181","852.045","0.632",818.052,0.49,NA,NA,"","",NA,NA,"Canale 1973.csv"
"182","855.244","0.637",822.051,0.504,NA,NA,"","",NA,NA,"Canale 1973.csv"
"183","868.042","0.527",827.65,0.485,NA,NA,"","",NA,NA,"Canale 1973.csv"
"184","876.84","0.524",831.249,0.532,NA,NA,"","",NA,NA,"Canale 1973.csv"
"185","877.24","0.543",836.848,0.51,NA,NA,"","",NA,NA,"Canale 1973.csv"
"186","883.638","0.409",838.848,0.482,NA,NA,"","",NA,NA,"Canale 1973.csv"
"187","886.838","0.46",843.647,0.501,NA,NA,"","",NA,NA,"Canale 1973.csv"
"188","894.436","0.446",846.046,0.518,NA,NA,"","",NA,NA,"Canale 1973.csv"
"189","898.036","0.464",851.245,0.571,NA,NA,"","",NA,NA,"Canale 1973.csv"
"190","902.835","0.452",852.445,0.587,NA,NA,"","",NA,NA,"Canale 1973.csv"
"191","907.234","0.5",859.643,0.587,NA,NA,"","",NA,NA,"Canale 1973.csv"
"192","912.433","0.362",862.843,0.547,NA,NA,"","",NA,NA,"Canale 1973.csv"
"193","914.432","0.343",866.442,0.608,NA,NA,"","",NA,NA,"Canale 1973.csv"
"194","920.031","0.329",870.041,0.632,NA,NA,"","",NA,NA,"Canale 1973.csv"
"195","925.63","0.408",874.04,0.676,NA,NA,"","",NA,NA,"Canale 1973.csv"
"196","932.029","0.343",880.039,0.643,NA,NA,"","",NA,NA,"Canale 1973.csv"
"197","940.827","0.321",882.439,0.628,NA,NA,"","",NA,NA,"Canale 1973.csv"
"198","946.426","0.433",886.838,0.609,NA,NA,"","",NA,NA,"Canale 1973.csv"
"199","952.424","0.371",890.437,0.605,NA,NA,"","",NA,NA,"Canale 1973.csv"
"200","955.624","0.494",893.236,0.617,NA,NA,"","",NA,NA,"Canale 1973.csv"
"201","958.823","0.374",897.636,0.635,NA,NA,"","",NA,NA,"Canale 1973.csv"
"202","961.622","0.358",902.035,0.678,NA,NA,"","",NA,NA,"Canale 1973.csv"
"203","966.422","0.354",906.034,0.694,NA,NA,"","",NA,NA,"Canale 1973.csv"
"204","971.62","0.431",910.033,0.617,NA,NA,"","",NA,NA,"Canale 1973.csv"
"205","974.42","0.297",915.232,0.637,NA,NA,"","",NA,NA,"Canale 1973.csv"
"206","979.619","0.365",919.631,0.628,NA,NA,"","",NA,NA,"Canale 1973.csv"
"207","984.018","0.355",922.83,0.644,NA,NA,"","",NA,NA,"Canale 1973.csv"
"208","986.417","0.343",926.43,0.618,NA,NA,"","",NA,NA,"Canale 1973.csv"
"209","992.016","0.308",930.829,0.633,NA,NA,"","",NA,NA,"Canale 1973.csv"
"210","994.816","0.271",934.428,0.62,NA,NA,"","",NA,NA,"Canale 1973.csv"
"211","999.615","0.347",939.627,0.653,NA,NA,"","",NA,NA,"Canale 1973.csv"
"212","1004.414","0.288",941.627,0.66,NA,NA,"","",NA,NA,"Canale 1973.csv"
"213","1006.413","0.316",946.026,0.668,NA,NA,"","",NA,NA,"Canale 1973.csv"
"214","1010.413","0.315",946.826,0.682,NA,NA,"","",NA,NA,"Canale 1973.csv"
"215","1015.611","0.259",949.225,0.682,NA,NA,"","",NA,NA,"Canale 1973.csv"
"216","1018.411","0.302",954.024,0.671,NA,NA,"","",NA,NA,"Canale 1973.csv"
"217","1022.41","0.202",959.223,0.659,NA,NA,"","",NA,NA,"Canale 1973.csv"
"218","1027.209","0.297",964.422,0.671,NA,NA,"","",NA,NA,"Canale 1973.csv"
"219","1032.408","0.228",966.821,0.664,NA,NA,"","",NA,NA,"Canale 1973.csv"
"220","1044.006","0.261",971.62,0.672,NA,NA,"","",NA,NA,"Canale 1973.csv"
"221","1048.005","0.297",974.02,0.672,NA,NA,"","",NA,NA,"Canale 1973.csv"
"222","1058.803","0.231",977.219,0.689,NA,NA,"","",NA,NA,"Canale 1973.csv"
"223","1058.403","0.282",984.018,0.645,NA,NA,"","",NA,NA,"Canale 1973.csv"
