Species,Life stage,Life style,Taxonomic group,Host species,Lake,Season,Number of samples,Minimum sample size,Maximum sample size,Total sample size,Log total sample size,Body mass (mg),Log body mass,Mean density (m²),Log mean,SD,SD/Mean,Variance,Log variance
Harpactacoid sp,Ad,Free-living,Crustacean,,Hayes,January,16,0,2,3,0.4771212547,0.004623204,-2.335056943,0.375,-0.425968732,1.087811258,2.900830022,1.183333333,0.073107098
Harpactacoid sp,Ad,Free-living,Crustacean,,Hayes,May,16,0,2,5,0.6989700043,0.004623204,-2.335056943,0.625,-0.204119983,1.408308678,2.253293885,1.983333333,0.297395711
Harpactacoid sp,Ad,Free-living,Crustacean,,Tomahawk,January,16,0,2,5,0.6989700043,0.004623204,-2.335056943,0.625,-0.204119983,1.204159458,1.926655133,1.45,0.161368002
Harpactacoid sp,Ad,Free-living,Crustacean,,Tuakitoto,September,16,0,2,6,0.7781512504,0.004623204,-2.335056943,0.75,-0.124938737,1.238278375,1.651037833,1.533333333,0.185636577
Harpactacoid sp,Ad,Free-living,Crustacean,,Waihola,January,16,0,4,19,1.278753601,0.004623204,-2.335056943,2.375,0.375663614,2.753785274,1.159488536,7.583333333,0.879860146
Harpactacoid sp,Ad,Free-living,Crustacean,,Tuakitoto,May,16,0,3,20,1.3010299957,0.004623204,-2.335056943,2.5,0.397940009,2.683281573,1.073312629,7.2,0.857332496
Harpactacoid sp,Ad,Free-living,Crustacean,,Waihola,May,16,0,4,21,1.3222192947,0.004623204,-2.335056943,2.625,0.419129308,2.704933764,1.030450958,7.316666667,0.86431327
Harpactacoid sp,Ad,Free-living,Crustacean,,Hayes,September,16,0,96,216,2.3344537512,0.004623204,-2.335056943,27,1.431363764,46.69903639,1.72959394,2180.8,3.338615839
Hexatomini sp,L,Free-living,Insect,,Hayes,September,24,0,2,3,0.4771212547,4.454,0.6487502127,1.25,0.096910013,4.484272031,3.587417625,20.10869565,1.303383901
Hydra sp,Ad,Free-living,Other,,Tomahawk,May,24,0,5,11,1.0413926852,0.379560948,-0.420718477,0.916666667,-0.037788561,2.357534944,2.571856303,5.557971015,0.744916278
Hydra sp,Ad,Free-living,Other,,Tomahawk,January,24,0,2,4,0.6020599913,0.379560948,-0.420718477,1,0,4.128374772,4.128374772,17.04347826,1.231558231
Hydra sp,Ad,Free-living,Other,,Hayes,September,24,0,9,18,1.2552725051,0.379560948,-0.420718477,1.5,0.176091259,3.967257294,2.644838196,15.73913044,1.196980735
Hydra sp,Ad,Free-living,Other,,Waihola,September,24,0,2,4,0.6020599913,0.379560948,-0.420718477,1.666666667,0.22184875,5.646597026,3.387958215,31.88405797,1.50357359
Hydra sp,Ad,Free-living,Other,,Hayes,January,24,0,7,22,1.3424226808,0.379560948,-0.420718477,1.833333333,0.263241435,3.279271747,1.78869368,10.75362319,1.031554815
Hydra sp,Ad,Free-living,Other,,Tuakitoto,January,24,0,6,25,1.3979400087,0.379560948,-0.420718477,2.083333333,0.318758763,3.361116102,1.613335729,11.29710145,1.052967029
Hydra sp,Ad,Free-living,Other,,Hayes,May,24,0,8,28,1.4471580313,0.379560948,-0.420718477,2.666666667,0.425968732,4.992748365,1.872280637,24.92753623,1.396679356
Hydra sp,Ad,Free-living,Other,,Tomahawk,September,24,0,30,220,2.3424226808,0.379560948,-0.420718477,51,1.707570176,84.44602083,1.65580433,7131.130435,3.85315838
Hydrachnidae sp,Ad,Free-living,Mite,,Tuakitoto,May,24,0,1,3,0.4771212547,2.012452335,0.3037256029,0.25,-0.602059991,0.675663925,2.702655699,0.456521739,-0.340538537
Hydrachnidae sp,Ad,Free-living,Mite,,Waihola,January,24,0,3,4,0.6020599913,2.012452335,0.3037256029,0.333333333,-0.477121255,1.274044115,3.822132344,1.623188406,0.210368932
Hydrachnidae sp,Ad,Free-living,Mite,,Waihola,September,24,0,2,4,0.6020599913,2.012452335,0.3037256029,0.333333333,-0.477121255,0.963086825,2.889260474,0.927536232,-0.032669117
Hydrachnidae sp,Ad,Free-living,Mite,,Tuakitoto,September,24,0,3,11,1.0413926852,2.012452335,0.3037256029,0.916666667,-0.037788561,1.558055272,1.699696661,2.427536232,0.385165721
Hydrachnidae sp,Ad,Free-living,Mite,,Hayes,May,24,0,5,36,1.5563025008,2.012452335,0.3037256029,3,0.477121255,3.867366254,1.289122085,14.95652174,1.174830607
Hydrachnidae sp,Ad,Free-living,Mite,,Hayes,September,24,0,15,46,1.6627578317,2.012452335,0.3037256029,3.833333333,0.583576586,7.269152613,1.896300682,52.84057971,1.722967574
Hydrachnidae sp,Ad,Free-living,Mite,,Hayes,January,24,0,16,73,1.8633228601,2.012452335,0.3037256029,6.083333333,0.784141614,9.202630374,1.512761157,84.6884058,1.927823958
Hydrachnidae sp,Ad,Free-living,Mite,,Tuakitoto,January,24,5,41,403,2.6053050461,2.012452335,0.3037256029,33.58333333,1.5261238,23.73754441,0.706825144,563.4710145,2.75087158
Hygraula sp,L,Free-living,Insect,,Hayes,September,24,0,1,2,0.3010299957,6.12975,0.7874427623,0.166666667,-0.77815125,0.564659703,3.387958215,0.31884058,-0.49642641
Hygraula sp,L,Free-living,Insect,,Waihola,May,24,0,4,4,0.6020599913,6.12975,0.7874427623,0.333333333,-0.477121255,1.632993162,4.898979486,2.666666667,0.425968732
Hygraula sp,L,Free-living,Insect,,Tomahawk,January,24,0,1,1,0,6.12975,0.7874427623,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Hygraula sp,L,Free-living,Insect,,Tomahawk,May,24,0,2,6,0.7781512504,6.12975,0.7874427623,0.5,-0.301029996,1.215837518,2.431675035,1.47826087,0.169751081
Hygraula sp,L,Free-living,Insect,,Waihola,September,24,0,2,4,0.6020599913,6.12975,0.7874427623,1,0,4.491537937,4.491537937,20.17391304,1.304790145
Hygraula sp,L,Free-living,Insect,,Tuakitoto,May,24,0,3,16,1.2041199827,6.12975,0.7874427623,1.333333333,0.124938737,1.833662685,1.375247013,3.362318841,0.526638894
Hygraula sp,L,Free-living,Insect,,Hayes,May,24,0,2,3,0.4771212547,6.12975,0.7874427623,1.416666667,0.151267675,4.471325712,3.156229914,19.99275362,1.300872614
Hygraula sp,L,Free-living,Insect,,Hayes,January,24,0,4,4,0.6020599913,6.12975,0.7874427623,1.666666667,0.22184875,8.164965809,4.898979486,66.66666667,1.823908741
