ASSESSID,TSYEAR,PT_AVAIL,SSB,R,TOTAL,F,CPUE,CATCH_LANDINGS
AFSC-CABEZNCAL-1916-2005-STANTON,1940,6,1049.17,623.209,1860.44,0.0111614,,20.77
AFSC-CABEZNCAL-1916-2005-STANTON,1941,6,1043.19,622.946,1852.08,0.0101696,,18.84
AFSC-CABEZNCAL-1916-2005-STANTON,1942,6,1039.32,622.922,1846.39,0.00750458,,13.86
AFSC-CABEZNCAL-1916-2005-STANTON,1943,6,1038.96,622.814,1846.09,0.00879012,,16.23
AFSC-CABEZNCAL-1916-2005-STANTON,1944,6,1037.38,622.791,1843.8,0.00790261,,14.57
AFSC-CABEZNCAL-1916-2005-STANTON,1945,6,1037.04,622.768,1843.39,0.00801164,,14.77
AFSC-CABEZNCAL-1916-2005-STANTON,1946,6,1036.71,622.683,1842.93,0.00887654,,16.36
AFSC-CABEZNCAL-1916-2005-STANTON,1947,6,1035.47,620.549,1841.11,0.0349092,,64.27
AFSC-CABEZNCAL-1916-2005-STANTON,1948,6,1005.15,617.376,1794.8,0.0485067,,87.06
AFSC-CABEZNCAL-1916-2005-STANTON,1949,6,962.888,614.395,1731.4,0.0482521,,83.54
AFSC-CABEZNCAL-1916-2005-STANTON,1950,6,925.924,610.792,1677.72,0.057903,,97.14
AFSC-CABEZNCAL-1916-2005-STANTON,1951,6,884.461,606.274,1617.53,0.0708321,,114.57
AFSC-CABEZNCAL-1916-2005-STANTON,1952,6,836.842,604.65,1547.95,0.0450161,,69.68
AFSC-CABEZNCAL-1916-2005-STANTON,1953,6,820.785,604.932,1528.34,0.0288427,,44.08
AFSC-CABEZNCAL-1916-2005-STANTON,1954,6,823.538,606.186,1536.65,0.0202707,,31.15
AFSC-CABEZNCAL-1916-2005-STANTON,1955,6,835.949,607.319,1558.03,0.0211302,,32.92
AFSC-CABEZNCAL-1916-2005-STANTON,1956,6,847.448,606.174,1577.15,0.0448801,,70.78
AFSC-CABEZNCAL-1916-2005-STANTON,1957,6,835.829,605.473,1559.86,0.0410041,,63.96
AFSC-CABEZNCAL-1916-2005-STANTON,1958,6,828.859,605.73,1550.22,0.0317774,,49.26
AFSC-CABEZNCAL-1916-2005-STANTON,1959,6,831.406,606.459,1555.11,0.0272262,,42.34
AFSC-CABEZNCAL-1916-2005-STANTON,1960,6,838.699,607.723,1565.83,0.0201734,,31.59
AFSC-CABEZNCAL-1916-2005-STANTON,1961,6,851.618,609.042,1585.9,0.0183949,,29.17
AFSC-CABEZNCAL-1916-2005-STANTON,1962,6,865.466,609.388,1606.3,0.0275663,,44.28
AFSC-CABEZNCAL-1916-2005-STANTON,1963,6,869.174,606.65,1610.38,0.0600454,,96.7
AFSC-CABEZNCAL-1916-2005-STANTON,1964,6,840.629,606.654,1564.45,0.0315206,,49.31
AFSC-CABEZNCAL-1916-2005-STANTON,1965,6,840.667,605.716,1566.72,0.0424764,,66.55
AFSC-CABEZNCAL-1916-2005-STANTON,1966,6,831.258,603.808,1553.51,0.0538302,,83.63
AFSC-CABEZNCAL-1916-2005-STANTON,1967,6,812.673,604.317,1526.03,0.0308901,,47.14
AFSC-CABEZNCAL-1916-2005-STANTON,1968,6,817.568,605.072,1535.18,0.0287068,,44.07
AFSC-CABEZNCAL-1916-2005-STANTON,1969,6,824.904,605.528,1547.05,0.0314793,,48.7
AFSC-CABEZNCAL-1916-2005-STANTON,1970,6,829.403,605.018,1553.87,0.0411577,,63.95
AFSC-CABEZNCAL-1916-2005-STANTON,1971,6,824.379,606.144,1545.94,0.0240743,,37.22
