BY,Species,Stock,Region,Area,Spawners,Recruits,ID
1989,Pink,Area 9,BC Central Coast,South,25.62,6.99,PinkArea 9BC Central CoastSouth
1990,Pink,Area 9,BC Central Coast,South,257.2,291.53,PinkArea 9BC Central CoastSouth
1991,Pink,Area 9,BC Central Coast,South,4.99,15.38,PinkArea 9BC Central CoastSouth
1992,Pink,Area 9,BC Central Coast,South,158.59,116.53,PinkArea 9BC Central CoastSouth
1993,Pink,Area 9,BC Central Coast,South,13.1,18.63,PinkArea 9BC Central CoastSouth
1994,Pink,Area 9,BC Central Coast,South,97.55,333.2,PinkArea 9BC Central CoastSouth
1995,Pink,Area 9,BC Central Coast,South,18,156.92,PinkArea 9BC Central CoastSouth
1996,Pink,Area 9,BC Central Coast,South,333.2,155.5,PinkArea 9BC Central CoastSouth
1950,Pink,Area 8,BC Central Coast,South,260.61,1184.32,PinkArea 8BC Central CoastSouth
1951,Pink,Area 8,BC Central Coast,South,988.17,945.17,PinkArea 8BC Central CoastSouth
1952,Pink,Area 8,BC Central Coast,South,545.29,1202.64,PinkArea 8BC Central CoastSouth
1953,Pink,Area 8,BC Central Coast,South,428.15,527.1,PinkArea 8BC Central CoastSouth
1954,Pink,Area 8,BC Central Coast,South,351.38,1810.23,PinkArea 8BC Central CoastSouth
1955,Pink,Area 8,BC Central Coast,South,350.29,919.62,PinkArea 8BC Central CoastSouth
1956,Pink,Area 8,BC Central Coast,South,781.08,1085.04,PinkArea 8BC Central CoastSouth
1957,Pink,Area 8,BC Central Coast,South,571.78,957.27,PinkArea 8BC Central CoastSouth
1958,Pink,Area 8,BC Central Coast,South,283.41,3052.16,PinkArea 8BC Central CoastSouth
1959,Pink,Area 8,BC Central Coast,South,530.05,2982.9,PinkArea 8BC Central CoastSouth
1960,Pink,Area 8,BC Central Coast,South,1571.37,16054.13,PinkArea 8BC Central CoastSouth
1961,Pink,Area 8,BC Central Coast,South,1249,2767.4,PinkArea 8BC Central CoastSouth
1962,Pink,Area 8,BC Central Coast,South,3910.09,3594.02,PinkArea 8BC Central CoastSouth
1963,Pink,Area 8,BC Central Coast,South,748.43,801.3,PinkArea 8BC Central CoastSouth
1964,Pink,Area 8,BC Central Coast,South,763.13,3059.85,PinkArea 8BC Central CoastSouth
1965,Pink,Area 8,BC Central Coast,South,222.1,86.33,PinkArea 8BC Central CoastSouth
1966,Pink,Area 8,BC Central Coast,South,939.85,7445.62,PinkArea 8BC Central CoastSouth
1967,Pink,Area 8,BC Central Coast,South,66.31,77.98,PinkArea 8BC Central CoastSouth
1968,Pink,Area 8,BC Central Coast,South,2095,2743.46,PinkArea 8BC Central CoastSouth
1969,Pink,Area 8,BC Central Coast,South,59.93,292.96,PinkArea 8BC Central CoastSouth
1970,Pink,Area 8,BC Central Coast,South,731.1,2440.87,PinkArea 8BC Central CoastSouth
1971,Pink,Area 8,BC Central Coast,South,257.15,223.66,PinkArea 8BC Central CoastSouth
1972,Pink,Area 8,BC Central Coast,South,1356.1,4235.82,PinkArea 8BC Central CoastSouth
1973,Pink,Area 8,BC Central Coast,South,166.88,240.53,PinkArea 8BC Central CoastSouth
1974,Pink,Area 8,BC Central Coast,South,1469.9,3289.43,PinkArea 8BC Central CoastSouth
1975,Pink,Area 8,BC Central Coast,South,150.1,529.52,PinkArea 8BC Central CoastSouth
1976,Pink,Area 8,BC Central Coast,South,1382.2,4053.95,PinkArea 8BC Central CoastSouth
1977,Pink,Area 8,BC Central Coast,South,434.69,1805.03,PinkArea 8BC Central CoastSouth
1978,Pink,Area 8,BC Central Coast,South,2293.48,2011.08,PinkArea 8BC Central CoastSouth
1979,Pink,Area 8,BC Central Coast,South,1123.33,2345.96,PinkArea 8BC Central CoastSouth
1980,Pink,Area 8,BC Central Coast,South,1127.73,234.53,PinkArea 8BC Central CoastSouth
1981,Pink,Area 8,BC Central Coast,South,737.36,2206.18,PinkArea 8BC Central CoastSouth
1982,Pink,Area 8,BC Central Coast,South,195.59,1138.27,PinkArea 8BC Central CoastSouth
1983,Pink,Area 8,BC Central Coast,South,1420.27,4009.01,PinkArea 8BC Central CoastSouth
1984,Pink,Area 8,BC Central Coast,South,967.21,6692.27,PinkArea 8BC Central CoastSouth
1985,Pink,Area 8,BC Central Coast,South,2793.62,780.24,PinkArea 8BC Central CoastSouth
1986,Pink,Area 8,BC Central Coast,South,3271.54,13911.81,PinkArea 8BC Central CoastSouth
1987,Pink,Area 8,BC Central Coast,South,383.06,680.92,PinkArea 8BC Central CoastSouth
1988,Pink,Area 8,BC Central Coast,South,5204.57,6394.9,PinkArea 8BC Central CoastSouth
1989,Pink,Area 8,BC Central Coast,South,522.53,2513.51,PinkArea 8BC Central CoastSouth
1990,Pink,Area 8,BC Central Coast,South,2759.84,7322.76,PinkArea 8BC Central CoastSouth
1991,Pink,Area 8,BC Central Coast,South,2399.35,1442.57,PinkArea 8BC Central CoastSouth
1992,Pink,Area 8,BC Central Coast,South,4614.4,929.66,PinkArea 8BC Central CoastSouth
1993,Pink,Area 8,BC Central Coast,South,1184.71,853.53,PinkArea 8BC Central CoastSouth
1994,Pink,Area 8,BC Central Coast,South,367.79,2210.85,PinkArea 8BC Central CoastSouth
1995,Pink,Area 8,BC Central Coast,South,629.1,1882.73,PinkArea 8BC Central CoastSouth
1996,Pink,Area 8,BC Central Coast,South,1844.35,1113.77,PinkArea 8BC Central CoastSouth
1950,Pink,Area 6,BC North Coast,South,204.48,1857.25,PinkArea 6BC North CoastSouth
1951,Pink,Area 6,BC North Coast,South,633.83,268.62,PinkArea 6BC North CoastSouth
1952,Pink,Area 6,BC North Coast,South,480.55,790.78,PinkArea 6BC North CoastSouth
1953,Pink,Area 6,BC North Coast,South,121.09,525.71,PinkArea 6BC North CoastSouth
1954,Pink,Area 6,BC North Coast,South,210.9,2268.59,PinkArea 6BC North CoastSouth
1955,Pink,Area 6,BC North Coast,South,151.33,237.34,PinkArea 6BC North CoastSouth
1956,Pink,Area 6,BC North Coast,South,537.03,1494.36,PinkArea 6BC North CoastSouth
1957,Pink,Area 6,BC North Coast,South,62.03,378.12,PinkArea 6BC North CoastSouth
1958,Pink,Area 6,BC North Coast,South,416.08,1364.35,PinkArea 6BC North CoastSouth
1959,Pink,Area 6,BC North Coast,South,241.98,1712.84,PinkArea 6BC North CoastSouth
1960,Pink,Area 6,BC North Coast,South,568.18,6628.07,PinkArea 6BC North CoastSouth
1961,Pink,Area 6,BC North Coast,South,670.48,2834.38,PinkArea 6BC North CoastSouth
1962,Pink,Area 6,BC North Coast,South,2822.73,2938.38,PinkArea 6BC North CoastSouth
1963,Pink,Area 6,BC North Coast,South,1329.75,1738.3,PinkArea 6BC North CoastSouth
1964,Pink,Area 6,BC North Coast,South,1509.23,4485.55,PinkArea 6BC North CoastSouth
1965,Pink,Area 6,BC North Coast,South,509.15,196.11,PinkArea 6BC North CoastSouth
1966,Pink,Area 6,BC North Coast,South,1139.5,4249.94,PinkArea 6BC North CoastSouth
1967,Pink,Area 6,BC North Coast,South,95.53,139.84,PinkArea 6BC North CoastSouth
1968,Pink,Area 6,BC North Coast,South,1182.3,3544.64,PinkArea 6BC North CoastSouth
1969,Pink,Area 6,BC North Coast,South,105.42,606.81,PinkArea 6BC North CoastSouth
1970,Pink,Area 6,BC North Coast,South,753.7,6112.82,PinkArea 6BC North CoastSouth
1971,Pink,Area 6,BC North Coast,South,366.45,633.71,PinkArea 6BC North CoastSouth
1972,Pink,Area 6,BC North Coast,South,1023.9,926.59,PinkArea 6BC North CoastSouth
1973,Pink,Area 6,BC North Coast,South,233.04,348.93,PinkArea 6BC North CoastSouth
1974,Pink,Area 6,BC North Coast,South,400.93,1508.33,PinkArea 6BC North CoastSouth
1975,Pink,Area 6,BC North Coast,South,309.08,546.79,PinkArea 6BC North CoastSouth
1976,Pink,Area 6,BC North Coast,South,1021.29,3581.34,PinkArea 6BC North CoastSouth
1977,Pink,Area 6,BC North Coast,South,142.69,1214.7,PinkArea 6BC North CoastSouth
1978,Pink,Area 6,BC North Coast,South,853.86,3615.58,PinkArea 6BC North CoastSouth
1979,Pink,Area 6,BC North Coast,South,489.72,1627.9,PinkArea 6BC North CoastSouth
1980,Pink,Area 6,BC North Coast,South,740.11,984.04,PinkArea 6BC North CoastSouth
1981,Pink,Area 6,BC North Coast,South,377.4,4045.53,PinkArea 6BC North CoastSouth
1982,Pink,Area 6,BC North Coast,South,403.27,1240.06,PinkArea 6BC North CoastSouth
1983,Pink,Area 6,BC North Coast,South,476.79,2552.29,PinkArea 6BC North CoastSouth
1984,Pink,Area 6,BC North Coast,South,638.85,6073.83,PinkArea 6BC North CoastSouth
1985,Pink,Area 6,BC North Coast,South,1044.8,1603.74,PinkArea 6BC North CoastSouth
1986,Pink,Area 6,BC North Coast,South,1429.76,9159.52,PinkArea 6BC North CoastSouth
1987,Pink,Area 6,BC North Coast,South,673.62,623.26,PinkArea 6BC North CoastSouth
1988,Pink,Area 6,BC North Coast,South,1448.58,2854.81,PinkArea 6BC North CoastSouth
1989,Pink,Area 6,BC North Coast,South,579.4,1141.7,PinkArea 6BC North CoastSouth
1990,Pink,Area 6,BC North Coast,South,954.62,1247.84,PinkArea 6BC North CoastSouth
1991,Pink,Area 6,BC North Coast,South,611.92,286,PinkArea 6BC North CoastSouth
1992,Pink,Area 6,BC North Coast,South,700.8,353.5,PinkArea 6BC North CoastSouth
1993,Pink,Area 6,BC North Coast,South,277.79,618.14,PinkArea 6BC North CoastSouth
1994,Pink,Area 6,BC North Coast,South,237.02,1420.77,PinkArea 6BC North CoastSouth
1995,Pink,Area 6,BC North Coast,South,593.59,433.12,PinkArea 6BC North CoastSouth
1950,Pink,Area 2E,BC North Coast,South,357.25,1308.89,PinkArea 2EBC North CoastSouth
1951,Pink,Area 2E,BC North Coast,South,29.78,26.32,PinkArea 2EBC North CoastSouth
1952,Pink,Area 2E,BC North Coast,South,715.05,760.82,PinkArea 2EBC North CoastSouth
1953,Pink,Area 2E,BC North Coast,South,25.78,52.91,PinkArea 2EBC North CoastSouth
1954,Pink,Area 2E,BC North Coast,South,406,415.47,PinkArea 2EBC North CoastSouth
1955,Pink,Area 2E,BC North Coast,South,23.28,173.85,PinkArea 2EBC North CoastSouth
1956,Pink,Area 2E,BC North Coast,South,261.6,737.24,PinkArea 2EBC North CoastSouth
1957,Pink,Area 2E,BC North Coast,South,46.28,147,PinkArea 2EBC North CoastSouth
1958,Pink,Area 2E,BC North Coast,South,312.9,566.68,PinkArea 2EBC North CoastSouth
1959,Pink,Area 2E,BC North Coast,South,142.28,58.58,PinkArea 2EBC North CoastSouth
1960,Pink,Area 2E,BC North Coast,South,370.7,1521.05,PinkArea 2EBC North CoastSouth
1961,Pink,Area 2E,BC North Coast,South,42.33,115.4,PinkArea 2EBC North CoastSouth
1962,Pink,Area 2E,BC North Coast,South,677.45,176.45,PinkArea 2EBC North CoastSouth
1963,Pink,Area 2E,BC North Coast,South,115.4,45.92,PinkArea 2EBC North CoastSouth
1964,Pink,Area 2E,BC North Coast,South,138.8,784.77,PinkArea 2EBC North CoastSouth
1965,Pink,Area 2E,BC North Coast,South,45.7,75.31,PinkArea 2EBC North CoastSouth
1966,Pink,Area 2E,BC North Coast,South,509.38,1253.94,PinkArea 2EBC North CoastSouth
1967,Pink,Area 2E,BC North Coast,South,71.95,146.16,PinkArea 2EBC North CoastSouth
1968,Pink,Area 2E,BC North Coast,South,769.34,1385.87,PinkArea 2EBC North CoastSouth
1969,Pink,Area 2E,BC North Coast,South,120.43,27.44,PinkArea 2EBC North CoastSouth
1970,Pink,Area 2E,BC North Coast,South,808.36,1143.27,PinkArea 2EBC North CoastSouth
1971,Pink,Area 2E,BC North Coast,South,26.7,34.62,PinkArea 2EBC North CoastSouth
1972,Pink,Area 2E,BC North Coast,South,766.95,644.73,PinkArea 2EBC North CoastSouth
1973,Pink,Area 2E,BC North Coast,South,34.23,26.03,PinkArea 2EBC North CoastSouth
1974,Pink,Area 2E,BC North Coast,South,423.17,2233.2,PinkArea 2EBC North CoastSouth
1975,Pink,Area 2E,BC North Coast,South,20.37,11.51,PinkArea 2EBC North CoastSouth
1976,Pink,Area 2E,BC North Coast,South,615.1,774.89,PinkArea 2EBC North CoastSouth
1977,Pink,Area 2E,BC North Coast,South,8.58,21.79,PinkArea 2EBC North CoastSouth
1978,Pink,Area 2E,BC North Coast,South,528.39,306.18,PinkArea 2EBC North CoastSouth
1979,Pink,Area 2E,BC North Coast,South,21.79,9.43,PinkArea 2EBC North CoastSouth
1980,Pink,Area 2E,BC North Coast,South,305.17,164.3,PinkArea 2EBC North CoastSouth
1981,Pink,Area 2E,BC North Coast,South,9.25,13.24,PinkArea 2EBC North CoastSouth
1982,Pink,Area 2E,BC North Coast,South,164.2,235.48,PinkArea 2EBC North CoastSouth
1983,Pink,Area 2E,BC North Coast,South,13.24,29.37,PinkArea 2EBC North CoastSouth
1984,Pink,Area 2E,BC North Coast,South,191.85,1056.91,PinkArea 2EBC North CoastSouth
1985,Pink,Area 2E,BC North Coast,South,19.99,35.8,PinkArea 2EBC North CoastSouth
1986,Pink,Area 2E,BC North Coast,South,703.76,710.55,PinkArea 2EBC North CoastSouth
1987,Pink,Area 2E,BC North Coast,South,35.57,25.98,PinkArea 2EBC North CoastSouth
1988,Pink,Area 2E,BC North Coast,South,572.3,1211.59,PinkArea 2EBC North CoastSouth
1989,Pink,Area 2E,BC North Coast,South,23.26,14.21,PinkArea 2EBC North CoastSouth
1990,Pink,Area 2E,BC North Coast,South,876.18,677.87,PinkArea 2EBC North CoastSouth
1991,Pink,Area 2E,BC North Coast,South,14.07,18.35,PinkArea 2EBC North CoastSouth
1992,Pink,Area 2E,BC North Coast,South,654.26,586.62,PinkArea 2EBC North CoastSouth
1993,Pink,Area 2E,BC North Coast,South,18.14,3.88,PinkArea 2EBC North CoastSouth
1994,Pink,Area 2E,BC North Coast,South,501.81,624.37,PinkArea 2EBC North CoastSouth
1995,Pink,Area 2E,BC North Coast,South,3.84,5.62,PinkArea 2EBC North CoastSouth
1960,Pink,SEAK S,Southeast Alaska,North,1363.4,14302.77,PinkSEAK SSoutheast AlaskaNorth
1961,Pink,SEAK S,Southeast Alaska,North,948.17,9797.11,PinkSEAK SSoutheast AlaskaNorth
1962,Pink,SEAK S,Southeast Alaska,North,3295.48,16700.79,PinkSEAK SSoutheast AlaskaNorth
1963,Pink,SEAK S,Southeast Alaska,North,4651.88,9612.62,PinkSEAK SSoutheast AlaskaNorth
1964,Pink,SEAK S,Southeast Alaska,North,5441.8,22764.43,PinkSEAK SSoutheast AlaskaNorth
1965,Pink,SEAK S,Southeast Alaska,North,3902.16,1671.56,PinkSEAK SSoutheast AlaskaNorth
1966,Pink,SEAK S,Southeast Alaska,North,7114.73,19792.26,PinkSEAK SSoutheast AlaskaNorth
1967,Pink,SEAK S,Southeast Alaska,North,1030.02,4208.08,PinkSEAK SSoutheast AlaskaNorth
1968,Pink,SEAK S,Southeast Alaska,North,4591.56,9221.73,PinkSEAK SSoutheast AlaskaNorth
1969,Pink,SEAK S,Southeast Alaska,North,3010.39,11427.03,PinkSEAK SSoutheast AlaskaNorth
1970,Pink,SEAK S,Southeast Alaska,North,3810.11,13262.36,PinkSEAK SSoutheast AlaskaNorth
1971,Pink,SEAK S,Southeast Alaska,North,5179.44,8673.89,PinkSEAK SSoutheast AlaskaNorth
1972,Pink,SEAK S,Southeast Alaska,North,4109.36,8076.72,PinkSEAK SSoutheast AlaskaNorth
1973,Pink,SEAK S,Southeast Alaska,North,4118.89,9403.25,PinkSEAK SSoutheast AlaskaNorth
1974,Pink,SEAK S,Southeast Alaska,North,3855.72,13915.96,PinkSEAK SSoutheast AlaskaNorth
1975,Pink,SEAK S,Southeast Alaska,North,6073.25,25377.18,PinkSEAK SSoutheast AlaskaNorth
1976,Pink,SEAK S,Southeast Alaska,North,8758.96,30480.23,PinkSEAK SSoutheast AlaskaNorth
1977,Pink,SEAK S,Southeast Alaska,North,14135.18,17390.94,PinkSEAK SSoutheast AlaskaNorth
1978,Pink,SEAK S,Southeast Alaska,North,12055.23,25591.34,PinkSEAK SSoutheast AlaskaNorth
1979,Pink,SEAK S,Southeast Alaska,North,10398.94,25289.36,PinkSEAK SSoutheast AlaskaNorth
1980,Pink,SEAK S,Southeast Alaska,North,12684.34,22393.02,PinkSEAK SSoutheast AlaskaNorth
1981,Pink,SEAK S,Southeast Alaska,North,11821.36,46026.86,PinkSEAK SSoutheast AlaskaNorth
1982,Pink,SEAK S,Southeast Alaska,North,9476.02,38440.27,PinkSEAK SSoutheast AlaskaNorth
1983,Pink,SEAK S,Southeast Alaska,North,14605.86,56955.48,PinkSEAK SSoutheast AlaskaNorth
1984,Pink,SEAK S,Southeast Alaska,North,18803.27,76929.92,PinkSEAK SSoutheast AlaskaNorth
1985,Pink,SEAK S,Southeast Alaska,North,26255.48,17406.26,PinkSEAK SSoutheast AlaskaNorth
1986,Pink,SEAK S,Southeast Alaska,North,31929.92,17569.48,PinkSEAK SSoutheast AlaskaNorth
1987,Pink,SEAK S,Southeast Alaska,North,12806.26,65850.44,PinkSEAK SSoutheast AlaskaNorth
1988,Pink,SEAK S,Southeast Alaska,North,8522.48,42457.44,PinkSEAK SSoutheast AlaskaNorth
1989,Pink,SEAK S,Southeast Alaska,North,20050.44,58805.83,PinkSEAK SSoutheast AlaskaNorth
1990,Pink,SEAK S,Southeast Alaska,North,15757.44,35377.06,PinkSEAK SSoutheast AlaskaNorth
1991,Pink,SEAK S,Southeast Alaska,North,15305.83,58847.86,PinkSEAK SSoutheast AlaskaNorth
1992,Pink,SEAK S,Southeast Alaska,North,16377.06,36654.6,PinkSEAK SSoutheast AlaskaNorth
1993,Pink,SEAK S,Southeast Alaska,North,19847.86,66624.78,PinkSEAK SSoutheast AlaskaNorth
1994,Pink,SEAK S,Southeast Alaska,North,15554.6,98932.04,PinkSEAK SSoutheast AlaskaNorth
1995,Pink,SEAK S,Southeast Alaska,North,25324.78,31997.55,PinkSEAK SSoutheast AlaskaNorth
1996,Pink,SEAK S,Southeast Alaska,North,45232.04,72329.65,PinkSEAK SSoutheast AlaskaNorth
1960,Pink,SEAK N Inside,Southeast Alaska,North,608.45,2052.75,PinkSEAK N InsideSoutheast AlaskaNorth
1961,Pink,SEAK N Inside,Southeast Alaska,North,1940.7,15462.65,PinkSEAK N InsideSoutheast AlaskaNorth
1962,Pink,SEAK N Inside,Southeast Alaska,North,1565.48,9030.79,PinkSEAK N InsideSoutheast AlaskaNorth
1963,Pink,SEAK N Inside,Southeast Alaska,North,2834.51,6102.59,PinkSEAK N InsideSoutheast AlaskaNorth
1964,Pink,SEAK N Inside,Southeast Alaska,North,1819.1,6690.11,PinkSEAK N InsideSoutheast AlaskaNorth
1965,Pink,SEAK N Inside,Southeast Alaska,North,1545.91,3676.61,PinkSEAK N InsideSoutheast AlaskaNorth
1966,Pink,SEAK N Inside,Southeast Alaska,North,1929.06,12908.29,PinkSEAK N InsideSoutheast AlaskaNorth
1967,Pink,SEAK N Inside,Southeast Alaska,North,1354.36,5500.47,PinkSEAK N InsideSoutheast AlaskaNorth
1968,Pink,SEAK N Inside,Southeast Alaska,North,3067.44,8059.56,PinkSEAK N InsideSoutheast AlaskaNorth
1969,Pink,SEAK N Inside,Southeast Alaska,North,2015.21,6081.45,PinkSEAK N InsideSoutheast AlaskaNorth
1970,Pink,SEAK N Inside,Southeast Alaska,North,2882.64,6761.22,PinkSEAK N InsideSoutheast AlaskaNorth
1971,Pink,SEAK N Inside,Southeast Alaska,North,3153,4540.26,PinkSEAK N InsideSoutheast AlaskaNorth
1972,Pink,SEAK N Inside,Southeast Alaska,North,3566.05,2792.32,PinkSEAK N InsideSoutheast AlaskaNorth
1973,Pink,SEAK N Inside,Southeast Alaska,North,2915.59,1466.06,PinkSEAK N InsideSoutheast AlaskaNorth
1974,Pink,SEAK N Inside,Southeast Alaska,North,2190.82,1348.2,PinkSEAK N InsideSoutheast AlaskaNorth
1975,Pink,SEAK N Inside,Southeast Alaska,North,1414.85,5068.89,PinkSEAK N InsideSoutheast AlaskaNorth
1976,Pink,SEAK N Inside,Southeast Alaska,North,1309.35,7325.09,PinkSEAK N InsideSoutheast AlaskaNorth
1977,Pink,SEAK N Inside,Southeast Alaska,North,4738.55,8961.77,PinkSEAK N InsideSoutheast AlaskaNorth
1978,Pink,SEAK N Inside,Southeast Alaska,North,4686.75,5318.08,PinkSEAK N InsideSoutheast AlaskaNorth
1979,Pink,SEAK N Inside,Southeast Alaska,North,6865.7,7175.02,PinkSEAK N InsideSoutheast AlaskaNorth
1980,Pink,SEAK N Inside,Southeast Alaska,North,3963.7,17654.94,PinkSEAK N InsideSoutheast AlaskaNorth
1981,Pink,SEAK N Inside,Southeast Alaska,North,4524.74,9656.93,PinkSEAK N InsideSoutheast AlaskaNorth
1982,Pink,SEAK N Inside,Southeast Alaska,North,6834.68,9645.55,PinkSEAK N InsideSoutheast AlaskaNorth
1983,Pink,SEAK N Inside,Southeast Alaska,North,6148.26,30058.03,PinkSEAK N InsideSoutheast AlaskaNorth
1984,Pink,SEAK N Inside,Southeast Alaska,North,5886.19,6241.22,PinkSEAK N InsideSoutheast AlaskaNorth
1985,Pink,SEAK N Inside,Southeast Alaska,North,14441.31,12654,PinkSEAK N InsideSoutheast AlaskaNorth
1986,Pink,SEAK N Inside,Southeast Alaska,North,5350.78,6098.36,PinkSEAK N InsideSoutheast AlaskaNorth
1987,Pink,SEAK N Inside,Southeast Alaska,North,7467.76,20703.59,PinkSEAK N InsideSoutheast AlaskaNorth
1988,Pink,SEAK N Inside,Southeast Alaska,North,4129.31,11976.21,PinkSEAK N InsideSoutheast AlaskaNorth
1989,Pink,SEAK N Inside,Southeast Alaska,North,7972.45,27581.79,PinkSEAK N InsideSoutheast AlaskaNorth
1990,Pink,SEAK N Inside,Southeast Alaska,North,6541.01,23891.77,PinkSEAK N InsideSoutheast AlaskaNorth
1991,Pink,SEAK N Inside,Southeast Alaska,North,9550.21,24634.61,PinkSEAK N InsideSoutheast AlaskaNorth
1992,Pink,SEAK N Inside,Southeast Alaska,North,8486.86,49721.47,PinkSEAK N InsideSoutheast AlaskaNorth
1993,Pink,SEAK N Inside,Southeast Alaska,North,7579.14,11759.61,PinkSEAK N InsideSoutheast AlaskaNorth
1994,Pink,SEAK N Inside,Southeast Alaska,North,14110.53,19678.79,PinkSEAK N InsideSoutheast AlaskaNorth
1995,Pink,SEAK N Inside,Southeast Alaska,North,6905.15,22950.67,PinkSEAK N InsideSoutheast AlaskaNorth
1996,Pink,SEAK N Inside,Southeast Alaska,North,10592.32,22501.9,PinkSEAK N InsideSoutheast AlaskaNorth
1960,Pink,SEAK N Outside,Southeast Alaska,North,261.42,571.21,PinkSEAK N OutsideSoutheast AlaskaNorth
1961,Pink,SEAK N Outside,Southeast Alaska,North,1265.68,4064.06,PinkSEAK N OutsideSoutheast AlaskaNorth
1962,Pink,SEAK N Outside,Southeast Alaska,North,508.3,778.14,PinkSEAK N OutsideSoutheast AlaskaNorth
1963,Pink,SEAK N Outside,Southeast Alaska,North,2771.33,1977.66,PinkSEAK N OutsideSoutheast AlaskaNorth
1964,Pink,SEAK N Outside,Southeast Alaska,North,707.74,533.55,PinkSEAK N OutsideSoutheast AlaskaNorth
1965,Pink,SEAK N Outside,Southeast Alaska,North,1369.29,609.18,PinkSEAK N OutsideSoutheast AlaskaNorth
1966,Pink,SEAK N Outside,Southeast Alaska,North,507.54,584.78,PinkSEAK N OutsideSoutheast AlaskaNorth
1967,Pink,SEAK N Outside,Southeast Alaska,North,494.25,1477.44,PinkSEAK N OutsideSoutheast AlaskaNorth
1968,Pink,SEAK N Outside,Southeast Alaska,North,543.25,587.35,PinkSEAK N OutsideSoutheast AlaskaNorth
1969,Pink,SEAK N Outside,Southeast Alaska,North,1354.63,1054.57,PinkSEAK N OutsideSoutheast AlaskaNorth
1970,Pink,SEAK N Outside,Southeast Alaska,North,522.63,804.88,PinkSEAK N OutsideSoutheast AlaskaNorth
1971,Pink,SEAK N Outside,Southeast Alaska,North,966.12,1166.33,PinkSEAK N OutsideSoutheast AlaskaNorth
1972,Pink,SEAK N Outside,Southeast Alaska,North,760.05,1052.41,PinkSEAK N OutsideSoutheast AlaskaNorth
1973,Pink,SEAK N Outside,Southeast Alaska,North,916.01,1843.68,PinkSEAK N OutsideSoutheast AlaskaNorth
1974,Pink,SEAK N Outside,Southeast Alaska,North,997.92,996.48,PinkSEAK N OutsideSoutheast AlaskaNorth
1975,Pink,SEAK N Outside,Southeast Alaska,North,1279.89,6511.8,PinkSEAK N OutsideSoutheast AlaskaNorth
1976,Pink,SEAK N Outside,Southeast Alaska,North,898.33,2076.28,PinkSEAK N OutsideSoutheast AlaskaNorth
1977,Pink,SEAK N Outside,Southeast Alaska,North,4336.14,6181.59,PinkSEAK N OutsideSoutheast AlaskaNorth
1978,Pink,SEAK N Outside,Southeast Alaska,North,1941.62,897.5,PinkSEAK N OutsideSoutheast AlaskaNorth
1979,Pink,SEAK N Outside,Southeast Alaska,North,4464.66,6012.22,PinkSEAK N OutsideSoutheast AlaskaNorth
1980,Pink,SEAK N Outside,Southeast Alaska,North,826.88,2161.26,PinkSEAK N OutsideSoutheast AlaskaNorth
1981,Pink,SEAK N Outside,Southeast Alaska,North,3328.5,5557.96,PinkSEAK N OutsideSoutheast AlaskaNorth
1982,Pink,SEAK N Outside,Southeast Alaska,North,1688.52,3626.91,PinkSEAK N OutsideSoutheast AlaskaNorth
1983,Pink,SEAK N Outside,Southeast Alaska,North,3022.63,9968.9,PinkSEAK N OutsideSoutheast AlaskaNorth
1984,Pink,SEAK N Outside,Southeast Alaska,North,2394.27,1234.68,PinkSEAK N OutsideSoutheast AlaskaNorth
1985,Pink,SEAK N Outside,Southeast Alaska,North,4385.62,1781.45,PinkSEAK N OutsideSoutheast AlaskaNorth
1986,Pink,SEAK N Outside,Southeast Alaska,North,1025.13,714.17,PinkSEAK N OutsideSoutheast AlaskaNorth
1987,Pink,SEAK N Outside,Southeast Alaska,North,1367.69,2421.86,PinkSEAK N OutsideSoutheast AlaskaNorth
1988,Pink,SEAK N Outside,Southeast Alaska,North,657.85,1266.68,PinkSEAK N OutsideSoutheast AlaskaNorth
1989,Pink,SEAK N Outside,Southeast Alaska,North,1553,2361.85,PinkSEAK N OutsideSoutheast AlaskaNorth
1990,Pink,SEAK N Outside,Southeast Alaska,North,1101.88,2430.42,PinkSEAK N OutsideSoutheast AlaskaNorth
1991,Pink,SEAK N Outside,Southeast Alaska,North,1993.43,3168.48,PinkSEAK N OutsideSoutheast AlaskaNorth
1992,Pink,SEAK N Outside,Southeast Alaska,North,2035.33,5198.66,PinkSEAK N OutsideSoutheast AlaskaNorth
1993,Pink,SEAK N Outside,Southeast Alaska,North,2123.95,5243.23,PinkSEAK N OutsideSoutheast AlaskaNorth
1994,Pink,SEAK N Outside,Southeast Alaska,North,4209.6,6573.96,PinkSEAK N OutsideSoutheast AlaskaNorth
1995,Pink,SEAK N Outside,Southeast Alaska,North,3497.7,10516.84,PinkSEAK N OutsideSoutheast AlaskaNorth
1996,Pink,SEAK N Outside,Southeast Alaska,North,4760.42,13154.38,PinkSEAK N OutsideSoutheast AlaskaNorth
1962,Pink,Situk R.,Yakutat,North,210,242.74,PinkSituk R.YakutatNorth
1964,Pink,Situk R.,Yakutat,North,210,16.03,PinkSituk R.YakutatNorth
1965,Pink,Situk R.,Yakutat,North,90,267.54,PinkSituk R.YakutatNorth
1967,Pink,Situk R.,Yakutat,North,240,37.85,PinkSituk R.YakutatNorth
1969,Pink,Situk R.,Yakutat,North,34.5,30.18,PinkSituk R.YakutatNorth
