BY,Species,Stock,Region,Area,Spawners,Recruits,ID
1963,Sockeye,Chilko,Fraser,South,998.23,1206.3,SockeyeChilkoFraserSouth
1964,Sockeye,Chilko,Fraser,South,238.27,2040.08,SockeyeChilkoFraserSouth
1965,Sockeye,Chilko,Fraser,South,35.34,158.94,SockeyeChilkoFraserSouth
1966,Sockeye,Chilko,Fraser,South,209.62,889.2,SockeyeChilkoFraserSouth
1967,Sockeye,Chilko,Fraser,South,174.72,2004.71,SockeyeChilkoFraserSouth
1968,Sockeye,Chilko,Fraser,South,413.86,2476.07,SockeyeChilkoFraserSouth
1969,Sockeye,Chilko,Fraser,South,70.9,402.36,SockeyeChilkoFraserSouth
1970,Sockeye,Chilko,Fraser,South,135.39,694.46,SockeyeChilkoFraserSouth
1971,Sockeye,Chilko,Fraser,South,157.19,852.84,SockeyeChilkoFraserSouth
1972,Sockeye,Chilko,Fraser,South,562.65,2034,SockeyeChilkoFraserSouth
1973,Sockeye,Chilko,Fraser,South,55.68,220.4,SockeyeChilkoFraserSouth
1974,Sockeye,Chilko,Fraser,South,110.03,620.59,SockeyeChilkoFraserSouth
1975,Sockeye,Chilko,Fraser,South,244.63,1640.64,SockeyeChilkoFraserSouth
1976,Sockeye,Chilko,Fraser,South,384.39,1699.78,SockeyeChilkoFraserSouth
1977,Sockeye,Chilko,Fraser,South,51.33,199.2,SockeyeChilkoFraserSouth
1978,Sockeye,Chilko,Fraser,South,146.84,1265.58,SockeyeChilkoFraserSouth
1979,Sockeye,Chilko,Fraser,South,249.39,1721.51,SockeyeChilkoFraserSouth
1980,Sockeye,Chilko,Fraser,South,497.76,4441.93,SockeyeChilkoFraserSouth
1981,Sockeye,Chilko,Fraser,South,34.54,208.71,SockeyeChilkoFraserSouth
1982,Sockeye,Chilko,Fraser,South,249.58,1599.22,SockeyeChilkoFraserSouth
1983,Sockeye,Chilko,Fraser,South,382.83,2119.74,SockeyeChilkoFraserSouth
1984,Sockeye,Chilko,Fraser,South,580.18,676.36,SockeyeChilkoFraserSouth
1985,Sockeye,Chilko,Fraser,South,71.98,572.97,SockeyeChilkoFraserSouth
1986,Sockeye,Chilko,Fraser,South,293.8,4800.44,SockeyeChilkoFraserSouth
1987,Sockeye,Chilko,Fraser,South,421.02,4420.84,SockeyeChilkoFraserSouth
1988,Sockeye,Chilko,Fraser,South,363.39,3296.36,SockeyeChilkoFraserSouth
1989,Sockeye,Chilko,Fraser,South,63.27,3117.37,SockeyeChilkoFraserSouth
1990,Sockeye,Chilko,Fraser,South,825.84,2633.84,SockeyeChilkoFraserSouth
1991,Sockeye,Chilko,Fraser,South,1037.74,1411.98,SockeyeChilkoFraserSouth
1992,Sockeye,Chilko,Fraser,South,511.27,1876.04,SockeyeChilkoFraserSouth
1993,Sockeye,Chilko,Fraser,South,555.23,3904.02,SockeyeChilkoFraserSouth
1994,Sockeye,Chilko,Fraser,South,450.75,1230.1,SockeyeChilkoFraserSouth
1995,Sockeye,Chilko,Fraser,South,534.56,1276.19,SockeyeChilkoFraserSouth
1996,Sockeye,Chilko,Fraser,South,974.35,1368.76,SockeyeChilkoFraserSouth
1997,Sockeye,Chilko,Fraser,South,985.83,-1,SockeyeChilkoFraserSouth
1998,Sockeye,Chilko,Fraser,South,879.01,-1,SockeyeChilkoFraserSouth
1950,Sockeye,Cultus,Fraser,South,29.93,278.99,SockeyeCultusFraserSouth
1951,Sockeye,Cultus,Fraser,South,12.68,207.03,SockeyeCultusFraserSouth
1952,Sockeye,Cultus,Fraser,South,27.83,67.15,SockeyeCultusFraserSouth
1953,Sockeye,Cultus,Fraser,South,11.54,114.27,SockeyeCultusFraserSouth
1954,Sockeye,Cultus,Fraser,South,22.04,127.13,SockeyeCultusFraserSouth
1955,Sockeye,Cultus,Fraser,South,25.92,397.97,SockeyeCultusFraserSouth
1956,Sockeye,Cultus,Fraser,South,13.72,37.29,SockeyeCultusFraserSouth
1957,Sockeye,Cultus,Fraser,South,20.38,28.92,SockeyeCultusFraserSouth
1958,Sockeye,Cultus,Fraser,South,13.32,71.55,SockeyeCultusFraserSouth
1959,Sockeye,Cultus,Fraser,South,47.78,82.11,SockeyeCultusFraserSouth
1960,Sockeye,Cultus,Fraser,South,17.64,41.01,SockeyeCultusFraserSouth
1961,Sockeye,Cultus,Fraser,South,13.4,13.08,SockeyeCultusFraserSouth
1962,Sockeye,Cultus,Fraser,South,27,60.11,SockeyeCultusFraserSouth
1963,Sockeye,Cultus,Fraser,South,20.3,322.27,SockeyeCultusFraserSouth
1964,Sockeye,Cultus,Fraser,South,11.07,75.81,SockeyeCultusFraserSouth
1965,Sockeye,Cultus,Fraser,South,2.46,32.6,SockeyeCultusFraserSouth
1966,Sockeye,Cultus,Fraser,South,16.92,133.77,SockeyeCultusFraserSouth
1967,Sockeye,Cultus,Fraser,South,33.2,150.06,SockeyeCultusFraserSouth
1968,Sockeye,Cultus,Fraser,South,25.31,54.8,SockeyeCultusFraserSouth
1969,Sockeye,Cultus,Fraser,South,5.94,7.96,SockeyeCultusFraserSouth
1970,Sockeye,Cultus,Fraser,South,13.94,44.81,SockeyeCultusFraserSouth
1971,Sockeye,Cultus,Fraser,South,9.13,49.47,SockeyeCultusFraserSouth
1972,Sockeye,Cultus,Fraser,South,10.37,31.46,SockeyeCultusFraserSouth
1973,Sockeye,Cultus,Fraser,South,0.64,0.75,SockeyeCultusFraserSouth
1974,Sockeye,Cultus,Fraser,South,8.98,29.92,SockeyeCultusFraserSouth
1975,Sockeye,Cultus,Fraser,South,11.35,115.79,SockeyeCultusFraserSouth
1976,Sockeye,Cultus,Fraser,South,4.44,6.13,SockeyeCultusFraserSouth
1977,Sockeye,Cultus,Fraser,South,0.08,1.57,SockeyeCultusFraserSouth
1978,Sockeye,Cultus,Fraser,South,5.08,75.25,SockeyeCultusFraserSouth
1979,Sockeye,Cultus,Fraser,South,32.03,110.52,SockeyeCultusFraserSouth
1980,Sockeye,Cultus,Fraser,South,1.66,4.83,SockeyeCultusFraserSouth
1981,Sockeye,Cultus,Fraser,South,0.26,1.54,SockeyeCultusFraserSouth
1982,Sockeye,Cultus,Fraser,South,16.73,18.81,SockeyeCultusFraserSouth
1983,Sockeye,Cultus,Fraser,South,19.94,96.36,SockeyeCultusFraserSouth
1984,Sockeye,Cultus,Fraser,South,0.99,9.41,SockeyeCultusFraserSouth
1985,Sockeye,Cultus,Fraser,South,0.42,2.43,SockeyeCultusFraserSouth
1986,Sockeye,Cultus,Fraser,South,3.26,10.49,SockeyeCultusFraserSouth
1987,Sockeye,Cultus,Fraser,South,32.18,65.86,SockeyeCultusFraserSouth
1988,Sockeye,Cultus,Fraser,South,0.86,7.83,SockeyeCultusFraserSouth
1989,Sockeye,Cultus,Fraser,South,0.42,10.75,SockeyeCultusFraserSouth
1990,Sockeye,Cultus,Fraser,South,1.86,25.09,SockeyeCultusFraserSouth
