ID,Year,Value
21,2009,95.44444537
22,1986,2269
22,1987,3631
22,1988,7395
22,1989,4927
22,1990,2956
22,1991,3185.666667
22,1992,1222
22,1993,1562
22,1994,1216
22,1995,1150
22,1996,1608
22,1997,2517
22,1998,2358
22,1999,1602
22,2000,1851
22,2001,2208
22,2002,2376
22,2003,2227
22,2004,3404
22,2005,3517
22,2006,1913
22,2007,1146
22,2008,1153
22,2009,2192
