Major Popn Group,Population,Year,Spawners (total),Spawners (natural origin),Spawners (hatchery origin),Broodstock take,Harvest,Harvest rate,Prop of age-3,Prop of age-4,Prop of age-5,Prop of age-6,Brood year recruits,R per natural-origin spawner,R per total spawner
Grande Ronde R,Grand Ronde (Upper Main),2009,121,18,103,0,NA,NA,0.12,0.65,0.23,0,NA,NA,NA
Grande Ronde R,Imnaha,1949,1938,1938,0,0,NA,NA,0.11,0.57,0.32,0,NA,NA,NA
Grande Ronde R,Imnaha,1950,1024,1024,0,0,NA,NA,0.11,0.57,0.32,0,NA,NA,NA
Grande Ronde R,Imnaha,1951,1761,1761,0,0,NA,NA,0.11,0.57,0.32,0,NA,NA,NA
Grande Ronde R,Imnaha,1952,3574,3574,0,0,NA,NA,0.11,0.57,0.32,0,NA,NA,NA
Grande Ronde R,Imnaha,1953,2920,2920,0,0,NA,NA,0.11,0.57,0.32,0,NA,NA,NA
Grande Ronde R,Imnaha,1954,3054,3054,0,0,NA,NA,0.11,0.57,0.32,0,4072,1.33,1.33
Grande Ronde R,Imnaha,1955,5856,5856,0,0,NA,NA,0.11,0.57,0.32,0,3689,0.63,0.63
Grande Ronde R,Imnaha,1956,1728,1728,0,0,NA,NA,0.11,0.57,0.32,0,4548,2.63,2.63
Grande Ronde R,Imnaha,1957,6267,6267,0,0,4958,0.47,0.11,0.57,0.32,0,3694,0.59,0.59
Grande Ronde R,Imnaha,1958,1399,1399,0,0,2069,0.63,0.11,0.57,0.32,0,3089,2.21,2.21
Grande Ronde R,Imnaha,1959,965,965,0,0,1726,0.67,0.11,0.57,0.32,0,2656,2.75,2.75
Grande Ronde R,Imnaha,1960,2710,2710,0,0,2835,0.54,0.11,0.57,0.32,0,2902,1.07,1.07
Grande Ronde R,Imnaha,1961,1854,1854,0,0,1559,0.49,0.11,0.57,0.32,0,2556,1.38,1.38
Grande Ronde R,Imnaha,1962,2081,2081,0,0,1478,0.45,0.11,0.57,0.32,0,2477,1.19,1.19
Grande Ronde R,Imnaha,1963,1116,1116,0,0,1026,0.51,0.11,0.57,0.32,0,2646,2.37,2.37
Grande Ronde R,Imnaha,1964,2097,2097,0,0,1167,0.39,0.11,0.57,0.32,0,2902,1.38,1.38
